letter_id,text,label,start,end,score,model
letter_0011,Zdenka Marković,PER,1217,1232,0.9088654518127441,classla/bcms-bertic-ner
letter_0011,Zagreb,LOC,1233,1239,0.9155194163322449,classla/bcms-bertic-ner
letter_0011,Jurjevska ul. 19,LOC,1241,1257,0.9874559044837952,classla/bcms-bertic-ner
letter_0011,I Yougoslavie,LOC,1258,1271,0.8669147491455078,classla/bcms-bertic-ner
letter_0011,14. X 1930,DATE,8,18,1.0,rule-based-date-v1
letter_0011,14 oktobra 1930,DATE,28,43,1.0,rule-based-date-v1
letter_0012,Женева,LOC,0,6,0.7246899008750916,classla/bcms-bertic-ner
letter_0012,Žene,LOC,20,24,0.9879072308540344,classla/bcms-bertic-ner
letter_0012,Hrvatske Revije,ORG,256,271,0.9969117641448975,classla/bcms-bertic-ner
letter_0012,Krleže,PER,297,305,0.9557569622993469,classla/bcms-bertic-ner
letter_0012,Andriji Ady,PER,326,337,0.8902810215950012,classla/bcms-bertic-ner
letter_0012,I. Andrić,PER,606,615,0.9743768572807312,classla/bcms-bertic-ner
letter_0012,18. X 1930,DATE,8,18,1.0,rule-based-date-v1
letter_0012,18 oktobra 1930,DATE,28,43,1.0,rule-based-date-v1
letter_0013,Женева,LOC,0,6,0.6788732409477234,classla/bcms-bertic-ner
letter_0013,Gene,LOC,21,25,0.662192165851593,classla/bcms-bertic-ner
letter_0013,Zagreba,LOC,89,96,0.9983940720558167,classla/bcms-bertic-ner
letter_0013,I. Andrić,PER,249,258,0.9866934418678284,classla/bcms-bertic-ner
letter_0013,18. XI 1930,DATE,8,19,1.0,rule-based-date-v1
letter_0014,Женева,LOC,0,6,0.7872201800346375,classla/bcms-bertic-ner
letter_0014,Ženeva,LOC,20,26,0.644292950630188,classla/bcms-bertic-ner
letter_0014,Zagreba,LOC,116,123,0.9983903169631958,classla/bcms-bertic-ner
letter_0014,Zagrebu,LOC,389,396,0.9981204867362976,classla/bcms-bertic-ner
letter_0014,Fr. Schützom,PER,464,476,0.9905596971511841,classla/bcms-bertic-ner
letter_0014,Uskrsa,MISC,715,721,0.792713463306427,classla/bcms-bertic-ner
letter_0014,Frankfurta,LOC,730,740,0.927207887172699,classla/bcms-bertic-ner
letter_0014,Weimara,LOC,743,750,0.956461489200592,classla/bcms-bertic-ner
letter_0014,I. Andrić,PER,898,907,0.98432856798172,classla/bcms-bertic-ner
letter_0014,6. IV 1932,DATE,8,18,1.0,rule-based-date-v1
letter_0014,6 aprila 1932,DATE,28,41,1.0,rule-based-date-v1
letter_0015,Berlin,LOC,21,27,0.9927127957344055,classla/bcms-bertic-ner
letter_0015,Zdenka,PER,63,69,0.7549836039543152,classla/bcms-bertic-ner
letter_0015,Bron. Grabowskoga,PER,121,138,0.9662115573883057,classla/bcms-bertic-ner
letter_0015,Uskrs,MISC,229,234,0.9954105019569397,classla/bcms-bertic-ner
letter_0015,Krakow,LOC,259,265,0.980285108089447,classla/bcms-bertic-ner
letter_0015,I. Andrić,PER,344,353,0.9500187039375305,classla/bcms-bertic-ner
letter_0015,Zdenka Marković,PER,375,390,0.8638688325881958,classla/bcms-bertic-ner
letter_0015,Zagreb,LOC,391,397,0.663072943687439,classla/bcms-bertic-ner
letter_0015,Dežmanova ul. 3/1,LOC,399,416,0.9289658665657043,classla/bcms-bertic-ner
letter_0015,11. IV 1939,DATE,8,19,1.0,rule-based-date-v1
letter_0015,11. aprila 1939,DATE,28,43,1.0,rule-based-date-v1
